"month","sessions","orders","revenue","cogs","gross_profit","conversion_rate","average_order_value","revenue_per_session"
"2012-03-01",1879,60,2999.40,1169.40,1830.00,0.0319,49.99,1.60
"2012-04-01",3734,99,4949.01,1929.51,3019.50,0.0265,49.99,1.33
"2012-05-01",3736,108,5398.92,2104.92,3294.00,0.0289,49.99,1.45
"2012-06-01",3963,140,6998.60,2728.60,4270.00,0.0353,49.99,1.77
"2012-07-01",4249,169,8448.31,3293.81,5154.50,0.0398,49.99,1.99
"2012-08-01",6097,228,11397.72,4443.72,6954.00,0.0374,49.99,1.87
"2012-09-01",6546,287,14347.13,5593.63,8753.50,0.0438,49.99,2.19
"2012-10-01",8183,371,18546.29,7230.79,11315.50,0.0453,49.99,2.27
"2012-11-01",14011,618,30893.82,12044.82,18849.00,0.0441,49.99,2.20
"2012-12-01",10072,506,25294.94,9861.94,15433.00,0.0502,49.99,2.51
"2013-01-01",6401,391,20016.09,7761.59,12254.50,0.0611,51.19,3.13
"2013-02-01",7168,497,26465.03,10172.53,16292.50,0.0693,53.25,3.69
"2013-03-01",6264,385,19896.15,7698.65,12197.50,0.0615,51.68,3.18
"2013-04-01",7971,553,28584.47,11059.97,17524.50,0.0694,51.69,3.59
"2013-05-01",8449,571,29364.29,11374.79,17989.50,0.0676,51.43,3.48
"2013-06-01",8325,594,30594.06,11847.06,18747.00,0.0714,51.51,3.67
"2013-07-01",8903,603,31093.97,12037.47,19056.50,0.0677,51.57,3.49
"2013-08-01",9180,608,31373.92,12143.92,19230.00,0.0662,51.60,3.42
"2013-09-01",9580,629,32723.65,12670.15,20053.50,0.0657,52.02,3.42
"2013-10-01",10773,708,38242.62,14788.62,23454.00,0.0657,54.02,3.55
"2013-11-01",14032,861,46631.02,18024.02,28607.00,0.0614,54.16,3.32
"2013-12-01",15735,1047,58262.60,22072.60,36190.00,0.0665,55.65,3.70
"2014-01-01",14825,983,56628.88,21224.88,35404.00,0.0663,57.61,3.82
"2014-02-01",16285,1021,66032.51,24257.01,41775.50,0.0627,64.67,4.05
"2014-03-01",15669,1065,68109.75,25092.25,43017.50,0.0680,63.95,4.35
"2014-04-01",17353,1241,78725.43,29011.93,49713.50,0.0715,63.44,4.54
"2014-05-01",18061,1368,88935.27,32767.77,56167.50,0.0757,65.01,4.92
"2014-06-01",17715,1239,80051.25,29450.75,50600.50,0.0699,64.61,4.52
"2014-07-01",19038,1287,83348.54,30744.54,52604.00,0.0676,64.76,4.38
"2014-08-01",18590,1324,84656.09,31114.59,53541.50,0.0712,63.94,4.55
"2014-09-01",19513,1424,92232.49,33922.99,58309.50,0.0730,64.77,4.73
"2014-10-01",21526,1609,103905.98,38158.98,65747.00,0.0747,64.58,4.83
"2014-11-01",25125,1985,128162.98,47177.98,80985.00,0.0790,64.57,5.10
"2014-12-01",29722,2314,144823.02,52966.02,91857.00,0.0779,62.59,4.87
"2015-01-01",25337,2099,132291.52,48329.52,83962.00,0.0828,63.03,5.22
"2015-02-01",23778,2067,129132.96,47177.96,81955.00,0.0869,62.47,5.43
"2015-03-01",15083,1254,78951.07,28920.57,50030.50,0.0831,62.96,5.23
